marketId,marketDisplayName,timestamp,date,supply,supplyInUsd,borrow,borrowInUsd,liquidity,liquidityInUsd,debtRepaid,debtRepaidInUsd,interestAccrued,interestAccruedInUsd,interestRepaid,interestRepaidInUsd,borrowApr,supplyApy,utilizationPercentage,loanOriginationFees,loanOriginationFeesInUsd,loanOriginationFeesMinAda,loanOriginationFeesMinAdaInUsd
DJED,DJED,2023-03-01T00:00:00.000Z,2023-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0
DJED,DJED,2023-03-02T00:00:00.000Z,2023-03-02,46631.322916,46631.322916618556,13141.631786,13141.631786402062,33489.69113,33489.691130216495,100,100,1.266337,1.266337,0,0,0.028720485759793815,0.005674818758762887,0.21663411897809515,0,0,0,0
DJED,DJED,2023-03-03T00:00:00.000Z,2023-03-03,65344.547963,65344.54796328571,42189.033519,42189.033518978016,23155.514444,23155.514444307693,1121,1121,5.35831,5.35831,0.505968,0.505968,0.046224082348351646,0.02397724304175824,0.6472073374592294,0,0,0,0
DJED,DJED,2023-03-04T00:00:00.000Z,2023-03-04,66310.703039,66310.70303935955,48529.986084000004,48529.98608464045,17780.716955,17780.7169547191,2545,2545,8.345068,8.345068,0.528939,0.528939,0.06020913030786517,0.0358820282505618,0.7328933534690205,0,0,0,0
DJED,DJED,2023-03-05T00:00:00.000Z,2023-03-05,67961.059515,67961.05951468539,50926.738675,50926.73867450562,17034.32084,17034.320840179775,0,0,9.331968,9.331968,0,0,0.06567568290898876,0.03979380684719101,0.749977791565923,0,0,0,0
DJED,DJED,2023-03-06T00:00:00.000Z,2023-03-06,68519.598035,68519.59803530337,52411.944926,52411.944926101125,16107.653109,16107.653109202247,1243.726262,1243.726262,15.706034,15.706034,5.404593,5.404593,0.11111947082808989,0.07242846778314607,0.7687549266764964,0,0,0,0
DJED,DJED,2023-03-07T00:00:00.000Z,2023-03-07,73059.11820699999,73059.11820622449,52902.849768,52902.849767510204,20156.268439,20156.268438714287,2231.776519,2231.776519,8.28456,8.28456,2.291877,2.291877,0.049886729090816324,0.02894015982755102,0.7245087796859562,0,0,0,0
DJED,DJED,2023-03-08T00:00:00.000Z,2023-03-08,81074.85674399999,81074.85674407217,58457.478584,58457.478583958764,22617.37816,22617.378160113403,0,0,10.270201,10.270201,0,0,0.05646366095773196,0.03306870190412371,0.7209829938791896,0,0,0,0
DJED,DJED,2023-03-09T00:00:00.000Z,2023-03-09,102024.886384,102024.8863844796,81872.854316,81872.85431656124,20152.032068,20152.032067918368,301,301,34.818152,34.818152,1.090921,1.090921,0.1474358853,0.09559428813163265,0.8030904489112654,0,0,0,0
DJED,DJED,2023-03-10T00:00:00.000Z,2023-03-10,113021.134488,113021.13448747959,92990.19828,92990.19827986734,20030.936208,20030.936207612245,1086.811955,1086.811955,48.570075,48.570075,8.519625,8.519625,0.18583239493367346,0.12286292967653062,0.8232803594777836,0,0,0,0
DJED,DJED,2023-03-11T00:00:00.000Z,2023-03-11,140487.192407,140487.1924074796,100343.078004,100343.0780042449,40144.114403,40144.11440323469,4951.452356,4951.452356,17.972565,17.972565,23.191627,23.191627,0.058097071375510206,0.0337439528255102,0.7155343651351699,0,0,0,0
DJED,DJED,2023-03-12T00:00:00.000Z,2023-03-12,159527.143936,159527.14393704082,105058.553579,105058.55357961226,54468.590357,54468.59035742858,3500,3500,15.13794,15.13794,0.014253,0.014253,0.04684679458265306,0.024910140979591835,0.6623529191083196,0,0,0,0
DJED,DJED,2023-03-13T00:00:00.000Z,2023-03-13,172573.357769,172573.3577689898,97749.778022,97749.77802187754,74823.579747,74823.57974711225,30539.331146,30539.331146,13.427008,13.427008,8.629514,8.629514,0.04306399514489796,0.019904975025510203,0.569943278551229,0,0,0,0
DJED,DJED,2023-03-14T00:00:00.000Z,2023-03-14,190079.18687099998,190079.18687042,108163.086532,108163.08653184,81916.100339,81916.10033858,5098.818187,5098.818187,14.871681,14.871681,36.372432,36.372432,0.0431342308,0.019772455834,0.57179695117579,0,0,0,0
DJED,DJED,2023-03-15T00:00:00.000Z,2023-03-15,229438.616028,229438.61602726264,129054.467964,129054.46796357576,100384.148064,100384.14806368687,6788.589346,6788.589346,17.671874,17.671874,1.369122,1.369122,0.04273999852525252,0.019236983695959595,0.5621747844045798,0,0,0,0
DJED,DJED,2023-03-16T00:00:00.000Z,2023-03-16,239311.35001,239311.35000949487,146445.150535,146445.15053456702,92866.199475,92866.19947492784,0,0,20.932787,20.932787,0,0,0.04477704946597938,0.021951519870103093,0.6119258738333391,0,0,0,0
DJED,DJED,2023-03-17T00:00:00.000Z,2023-03-17,241563.23443,241563.23442980612,167841.456895,167841.45689455103,73721.777535,73721.7775352551,624.966547,624.966547,26.259394,26.259394,0.497365,0.497365,0.04817453604183673,0.02678938175408163,0.6947132915926919,0,0,0,0
DJED,DJED,2023-03-18T00:00:00.000Z,2023-03-18,239492.04685800002,239492.04685808247,180597.88104100002,180597.88104128864,58894.165817,58894.165816793815,2654.286527,2654.286527,40.820246,40.820246,2.879736,2.879736,0.07219412083505154,0.04475123677628866,0.7540093852107383,0,0,0,0
