id,displayName,symbol,supplyAPY,borrowAPY,borrowAPR,utilization,loanOriginationFeePercentage,frozen,private,delisting,prime,updatedAt,supply,borrow,liquidity,asset
Ada,ADA,ADA,0.022758320584593202,0.0378653019,0.0378653019,0.010233201437524665,0,false,false,false,false,2026-07-27T07:11:45.202Z,6219766.190793172,63648.120324692,6156118.070468481,"{""id"":"""",""name"":"""",""symbol"":""ADA"",""displayName"":""ADA"",""decimals"":6,""currencySymbol"":"""",""logo"":""https://public.liqwid.finance/v6/assets/ADA.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":0.16658}"
AGIX,AGIX,AGIX,0,0.03,0.03,0,0,false,false,true,false,2026-07-27T07:11:45.201Z,1020.9073940423856,0,1020.9073940423856,"{""id"":""f43a62fdc3965df486de8a0d32fe800963589c41b38946602a0dc53541474958"",""name"":""41474958"",""symbol"":""AGIX"",""displayName"":""AGIX"",""decimals"":8,""currencySymbol"":""f43a62fdc3965df486de8a0d32fe800963589c41b38946602a0dc535"",""logo"":""https://public.liqwid.finance/v6/assets/AGIX.svg"",""priceUpdatedAt"":""2025-02-26T12:01:29.252Z"",""price"":0.284781}"
BTC,wanBTC,wanBTC,0.0139546112,0.02464626,0.02464626,0.7077448643618721,0,false,false,false,false,2026-07-27T07:11:45.214Z,44975.3680458,31831.0857572,13144.2822886,"{""id"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935425443"",""name"":""425443"",""symbol"":""wanBTC"",""displayName"":""wanBTC"",""decimals"":8,""currencySymbol"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935"",""logo"":""https://public.liqwid.finance/v6/assets/wanBTC.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":65540}"
COPI,COPI,COPI,0,0,0,3.1790877931681973e-10,0,false,false,true,false,2026-07-27T07:11:45.203Z,1523.6902633573698,4.84394511680865e-7,1523.6902628729752,"{""id"":""b6a7467ea1deb012808ef4e87b5ff371e85f7142d7b356a40d9b42a0436f726e75636f70696173205b76696120436861696e506f72742e696f5d"",""name"":""436f726e75636f70696173205b76696120436861696e506f72742e696f5d"",""symbol"":""COPI"",""displayName"":""COPI"",""decimals"":6,""currencySymbol"":""b6a7467ea1deb012808ef4e87b5ff371e85f7142d7b356a40d9b42a0"",""logo"":""https://public.liqwid.finance/v6/assets/COPI.svg"",""priceUpdatedAt"":""2025-11-18T15:29:43.000Z"",""price"":0.008970268734830833}"
DAI,wanDAI,wanDAI,0.0001591799,0.0511651295,0.0511651295,0.0038888754981902256,0,false,false,false,false,2026-07-27T07:11:45.204Z,2919.273452,11.352691,2907.920761,"{""id"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935444149"",""name"":""444149"",""symbol"":""wanDAI"",""displayName"":""wanDAI"",""decimals"":6,""currencySymbol"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935"",""logo"":""https://public.liqwid.finance/v6/assets/wanDAI.svg"",""priceUpdatedAt"":""2024-12-09T14:01:14.074Z"",""price"":1}"
DJED,DJED,DJED,0.1324034625,0.2451606945,0.2451606945,0.675085084362115,0,false,false,false,false,2026-07-27T07:11:45.206Z,3280145.901110985,2214377.572371555,1065768.32873943,"{""id"":""8db269c3ec630e06ae29f74bc39edd1f87c819f1056206e879a1cd61446a65644d6963726f555344"",""name"":""446a65644d6963726f555344"",""symbol"":""DJED"",""displayName"":""DJED"",""decimals"":6,""currencySymbol"":""8db269c3ec630e06ae29f74bc39edd1f87c819f1056206e879a1cd61"",""logo"":""https://public.liqwid.finance/v6/assets/DJED.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":0.9942}"
ERG,rsERG,rsERG,0.0008160871,0.0059327251,0.0059327251,0.17194607989479024,0,false,false,false,false,2026-07-27T07:11:45.207Z,10126.681039614035,1741.2431071065325,8385.437932507502,"{""id"":""04b95368393c821f180deee8229fbd941baaf9bd748ebcdbf7adbb147273455247"",""name"":""7273455247"",""symbol"":""rsERG"",""displayName"":""rsERG"",""decimals"":9,""currencySymbol"":""04b95368393c821f180deee8229fbd941baaf9bd748ebcdbf7adbb14"",""logo"":""https://public.liqwid.finance/v6/assets/ERG.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":0.20957}"
ETH,wanETH,wanETH,0.0089271934,0.0196888871,0.0196888871,0.5667659964332856,0,false,false,false,false,2026-07-27T07:11:45.215Z,5052.738261483,2863.720235486,2189.018025997,"{""id"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935455448"",""name"":""455448"",""symbol"":""wanETH"",""displayName"":""wanETH"",""decimals"":8,""currencySymbol"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935"",""logo"":""https://public.liqwid.finance/v6/assets/wanETH.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":1967.9}"
EURC,wanEURC,wanEURC,0,0.05,0.05,0,0,false,false,false,false,2026-07-27T07:11:45.217Z,133.890605065,0,133.890605065,"{""id"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff93545555243"",""name"":""45555243"",""symbol"":""wanEURC"",""displayName"":""wanEURC"",""decimals"":6,""currencySymbol"":""25c5de5f5b286073c593edfd77b48abc7a48e5a4f3d4cd9d428ff935"",""logo"":""https://public.liqwid.finance/v6/assets/wanEURC.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":1.141}"
IAG,IAG,IAG,0.000388237,0.0040901122,0.0040901122,0.11865108179417488,0,false,false,false,false,2026-07-27T07:11:45.207Z,35403.33275181109,4200.643730121528,31202.68902168956,"{""id"":""5d16cc1a177b5d9ba9cfa9793b07e60f1fb70fea1f8aef064415d114494147"",""name"":""494147"",""symbol"":""IAG"",""displayName"":""IAG"",""decimals"":6,""currencySymbol"":""5d16cc1a177b5d9ba9cfa9793b07e60f1fb70fea1f8aef064415d114"",""logo"":""https://public.liqwid.finance/v6/assets/IAG.svg"",""priceUpdatedAt"":""2026-07-27T06:14:27.000Z"",""price"":0.022184}"
