marketId,requestedThrough,dateRangeContract
Ada,2026-08-18,utc-inclusive-day-v1
AGIX,2026-08-18,utc-inclusive-day-v1
BTC,2026-08-18,utc-inclusive-day-v1
COPI,2026-08-18,utc-inclusive-day-v1
DAI,2026-08-18,utc-inclusive-day-v1
DJED,2026-08-18,utc-inclusive-day-v1
ERG,2026-08-18,utc-inclusive-day-v1
ETH,2026-08-18,utc-inclusive-day-v1
EURC,2026-08-18,utc-inclusive-day-v1
IAG,2026-08-18,utc-inclusive-day-v1
IUSD,2026-08-18,utc-inclusive-day-v1
LQ,2026-08-18,utc-inclusive-day-v1
MIN,2026-08-18,utc-inclusive-day-v1
NIGHT,2026-08-18,utc-inclusive-day-v1
POL,2026-08-18,utc-inclusive-day-v1
PYUSD,2026-08-18,utc-inclusive-day-v1
SHEN,2026-08-18,utc-inclusive-day-v1
SNEK,2026-08-18,utc-inclusive-day-v1
SNEK2,2026-08-18,utc-inclusive-day-v1
SNEK2-ADA,2026-08-18,utc-inclusive-day-v1
SNEK2-USDCx,2026-08-18,utc-inclusive-day-v1
STRIKE,2026-08-18,utc-inclusive-day-v1
STRIKE-ADA,2026-08-18,utc-inclusive-day-v1
STRIKE-USDCx,2026-08-18,utc-inclusive-day-v1
USDA,2026-08-18,utc-inclusive-day-v1
USDC,2026-08-18,utc-inclusive-day-v1
USDCx,2026-08-18,utc-inclusive-day-v1
USDCx-USDM-SUNDAE-LP-STABLESWAP,2026-08-18,utc-inclusive-day-v1
USDM,2026-08-18,utc-inclusive-day-v1
USDM-USDA-MINSWAP-LP-STABLE,2026-08-18,utc-inclusive-day-v1
USDT,2026-08-18,utc-inclusive-day-v1
WMT,2026-08-18,utc-inclusive-day-v1
